"Yrkesområde","SSYK 2012","Yrkesgrupp","Yrkesbenämning"
"Administration, ekonomi, juridik","2122","Statistiker","Biostatistiker"
"Administration, ekonomi, juridik","2122","Statistiker","Demograf"
"Administration, ekonomi, juridik","2122","Statistiker","Matematisk statistiker"
"Administration, ekonomi, juridik","2122","Statistiker","Metodstatistiker"
"Administration, ekonomi, juridik","2122","Statistiker","Miljöstatistiker"
"Administration, ekonomi, juridik","2122","Statistiker","Statistiker"
"Administration, ekonomi, juridik","2164","Lantmätare","Civilingenjör, lantmäteri"
"Administration, ekonomi, juridik","2164","Lantmätare","Exploateringsingenjör"
"Administration, ekonomi, juridik","2164","Lantmätare","Lantmätare"
"Administration, ekonomi, juridik","2164","Lantmätare","Markförhandlare"
"Administration, ekonomi, juridik","2411","Revisorer m.fl.","Revisor"
"Administration, ekonomi, juridik","2411","Revisorer m.fl.","Skatterådgivare"
"Administration, ekonomi, juridik","2412","Controller","Accounting controller"
"Administration, ekonomi, juridik","2412","Controller","AML-Specialist"
"Administration, ekonomi, juridik","2412","Controller","Budgetplanerare"
"Administration, ekonomi, juridik","2412","Controller","Business controller"
"Administration, ekonomi, juridik","2412","Controller","Controller"
"Administration, ekonomi, juridik","2412","Controller","Finansiell controller"
"Administration, ekonomi, juridik","2412","Controller","HR-controller"
"Administration, ekonomi, juridik","2412","Controller","Koncerncontroller"
"Administration, ekonomi, juridik","2413","Finansanalytiker och investeringsrådgivare m.fl.","Aktieanalytiker"
"Administration, ekonomi, juridik","2413","Finansanalytiker och investeringsrådgivare m.fl.","Finansanalytiker"
"Administration, ekonomi, juridik","2413","Finansanalytiker och investeringsrådgivare m.fl.","Finansekonom"
"Administration, ekonomi, juridik","2413","Finansanalytiker och investeringsrådgivare m.fl.","Finanskonsult"
"Administration, ekonomi, juridik","2413","Finansanalytiker och investeringsrådgivare m.fl.","Företagsrådgivare"
"Administration, ekonomi, juridik","2413","Finansanalytiker och investeringsrådgivare m.fl.","Kreditchef"
"Administration, ekonomi, juridik","2413","Finansanalytiker och investeringsrådgivare m.fl.","Placeringsrådgivare"
"Administration, ekonomi, juridik","2414","Traders och fondförvaltare","Fondförvaltare/Portföljförvaltare"
"Administration, ekonomi, juridik","2414","Traders och fondförvaltare","Trader"
"Administration, ekonomi, juridik","2415","Nationalekonomer och makroanalytiker m.fl.","Forskare, ekonomi"
"Administration, ekonomi, juridik","2415","Nationalekonomer och makroanalytiker m.fl.","Forskningsassistent, ekonomi"
"Administration, ekonomi, juridik","2415","Nationalekonomer och makroanalytiker m.fl.","Hälsoekonom"
"Administration, ekonomi, juridik","2415","Nationalekonomer och makroanalytiker m.fl.","Makroanalytiker"
"Administration, ekonomi, juridik","2415","Nationalekonomer och makroanalytiker m.fl.","Miljöekonom"
"Administration, ekonomi, juridik","2415","Nationalekonomer och makroanalytiker m.fl.","Nationalekonom"
"Administration, ekonomi, juridik","2415","Nationalekonomer och makroanalytiker m.fl.","Samhällsekonom"
"Administration, ekonomi, juridik","2419","Övriga ekonomer","Budget- och skuldrådgivare"
"Administration, ekonomi, juridik","2419","Övriga ekonomer","Budgetsekreterare"
"Administration, ekonomi, juridik","2419","Övriga ekonomer","Fastighetsekonom"
"Administration, ekonomi, juridik","2419","Övriga ekonomer","Fastighetsutvecklare"
"Administration, ekonomi, juridik","2419","Övriga ekonomer","Förvaltningsekonom"
"Administration, ekonomi, juridik","2419","Övriga ekonomer","Produktionsekonom"
"Administration, ekonomi, juridik","2421","Lednings- och organisationsutvecklare","Affärsanalytiker/Business analyst"
"Administration, ekonomi, juridik","2421","Lednings- och organisationsutvecklare","Affärsarkitekt"
"Administration, ekonomi, juridik","2421","Lednings- och organisationsutvecklare","Affärsutvecklare"
"Administration, ekonomi, juridik","2421","Lednings- och organisationsutvecklare","Civilingenjör, organisationsutveckling"
"Administration, ekonomi, juridik","2421","Lednings- och organisationsutvecklare","Ekonomikonsult"
"Administration, ekonomi, juridik","2421","Lednings- och organisationsutvecklare","Företagskonsult"
"Administration, ekonomi, juridik","2421","Lednings- och organisationsutvecklare","Kvalitetsrevisor"
"Administration, ekonomi, juridik","2421","Lednings- och organisationsutvecklare","Kvalitetssamordnare/Kvalitetskoordinator"
"Administration, ekonomi, juridik","2421","Lednings- och organisationsutvecklare","Organisationskonsult"
"Administration, ekonomi, juridik","2421","Lednings- och organisationsutvecklare","Organisationsutvecklare"
"Administration, ekonomi, juridik","2421","Lednings- och organisationsutvecklare","Verksamhetsanalytiker"
"Administration, ekonomi, juridik","2421","Lednings- och organisationsutvecklare","Verksamhetsarkitekt"
"Administration, ekonomi, juridik","2421","Lednings- och organisationsutvecklare","Verksamhetskonsult"
"Administration, ekonomi, juridik","2421","Lednings- och organisationsutvecklare","Verksamhetsutvecklare"
"Administration, ekonomi, juridik","2422","Planerare och utredare m.fl.","Akademisekreterare"
"Administration, ekonomi, juridik","2422","Planerare och utredare m.fl.","Ambassadsekreterare"
"Administration, ekonomi, juridik","2422","Planerare och utredare m.fl.","Antagningssekreterare, utbildning"
"Administration, ekonomi, juridik","2422","Planerare och utredare m.fl.","Arkivutredare"
"Administration, ekonomi, juridik","2422","Planerare och utredare m.fl.","Attaché"
"Administration, ekonomi, juridik","2422","Planerare och utredare m.fl.","Beredskapssamordnare/Krisberedskapssamordnare"
"Administration, ekonomi, juridik","2422","Planerare och utredare m.fl.","Civil brottsutredare"
"Administration, ekonomi, juridik","2422","Planerare och utredare m.fl.","Dataskyddsombud"
"Administration, ekonomi, juridik","2422","Planerare och utredare m.fl.","Departementssekreterare"
"Administration, ekonomi, juridik","2422","Planerare och utredare m.fl.","Destinationsutvecklare"
"Administration, ekonomi, juridik","2422","Planerare och utredare m.fl.","Dövblindkonsulent"
"Administration, ekonomi, juridik","2422","Planerare och utredare m.fl.","Dövkonsulent"
"Administration, ekonomi, juridik","2422","Planerare och utredare m.fl.","EU-handläggare"
"Administration, ekonomi, juridik","2422","Planerare och utredare m.fl.","Folkhälsoplanerare"
"Administration, ekonomi, juridik","2422","Planerare och utredare m.fl.","Folkhälsostrateg"
"Administration, ekonomi, juridik","2422","Planerare och utredare m.fl.","Folkhälsoutvecklare"
"Administration, ekonomi, juridik","2422","Planerare och utredare m.fl.","Förbundssekreterare"
"Administration, ekonomi, juridik","2422","Planerare och utredare m.fl.","Föreningskonsulent"
"Administration, ekonomi, juridik","2422","Planerare och utredare m.fl.","Förhandlingssekreterare"
"Administration, ekonomi, juridik","2422","Planerare och utredare m.fl.","Friluftssamordnare"
"Administration, ekonomi, juridik","2422","Planerare och utredare m.fl.","Fritidssamordnare"
"Administration, ekonomi, juridik","2422","Planerare och utredare m.fl.","GIS-samordnare"
"Administration, ekonomi, juridik","2422","Planerare och utredare m.fl.","Hållbarhetsutvecklare"
"Administration, ekonomi, juridik","2422","Planerare och utredare m.fl.","Hälsoplanerare"
"Administration, ekonomi, juridik","2422","Planerare och utredare m.fl.","Handläggare, intresseorganisation"
"Administration, ekonomi, juridik","2422","Planerare och utredare m.fl.","Handläggare, offentlig förvaltning/Utredare, offentlig förvaltning"
"Administration, ekonomi, juridik","2422","Planerare och utredare m.fl.","Informationssäkerhetssamordnare"
"Administration, ekonomi, juridik","2422","Planerare och utredare m.fl.","Inspektör, IVO (Inspektionen för vård och omsorg)"
"Administration, ekonomi, juridik","2422","Planerare och utredare m.fl.","Klimatanpassningssamordnare"
"Administration, ekonomi, juridik","2422","Planerare och utredare m.fl.","Kommunhandläggare"
"Administration, ekonomi, juridik","2422","Planerare och utredare m.fl.","Kommunsekreterare"
"Administration, ekonomi, juridik","2422","Planerare och utredare m.fl.","Konsumentvägledare"
"Administration, ekonomi, juridik","2422","Planerare och utredare m.fl.","Kultursekreterare"
"Administration, ekonomi, juridik","2422","Planerare och utredare m.fl.","Miljö- och klimatstrateg"
"Administration, ekonomi, juridik","2422","Planerare och utredare m.fl.","Näringslivssekreterare/Näringslivsutvecklare"
"Administration, ekonomi, juridik","2422","Planerare och utredare m.fl.","Naturvårdshandläggare"
"Administration, ekonomi, juridik","2422","Planerare och utredare m.fl.","Ombudsman"
"Administration, ekonomi, juridik","2422","Planerare och utredare m.fl.","Organisationssekreterare, intresseorganisation"
"Administration, ekonomi, juridik","2422","Planerare och utredare m.fl.","Regionsekreterare"
"Administration, ekonomi, juridik","2422","Planerare och utredare m.fl.","Samhällsplanerare"
"Administration, ekonomi, juridik","2422","Planerare och utredare m.fl.","Samhällsvägledare"
"Administration, ekonomi, juridik","2422","Planerare och utredare m.fl.","Skolsekreterare"
"Administration, ekonomi, juridik","2422","Planerare och utredare m.fl.","Stadssekreterare"
"Administration, ekonomi, juridik","2422","Planerare och utredare m.fl.","Synkonsulent"
"Administration, ekonomi, juridik","2422","Planerare och utredare m.fl.","Trafikplanerare, offentlig förvaltning"
"Administration, ekonomi, juridik","2422","Planerare och utredare m.fl.","Turistintendent"
"Administration, ekonomi, juridik","2422","Planerare och utredare m.fl.","Turistsekreterare"
"Administration, ekonomi, juridik","2422","Planerare och utredare m.fl.","Undervisningsråd"
"Administration, ekonomi, juridik","2422","Planerare och utredare m.fl.","Utredningssekreterare"
"Administration, ekonomi, juridik","2422","Planerare och utredare m.fl.","Vårdutvecklare"
"Administration, ekonomi, juridik","2423","Personal- och HR-specialister","HR business partner/HR BP"
"Administration, ekonomi, juridik","2423","Personal- och HR-specialister","HR-generalist/HR-partner"
"Administration, ekonomi, juridik","2423","Personal- och HR-specialister","HR-konsult/PA-konsult"
"Administration, ekonomi, juridik","2423","Personal- och HR-specialister","HR-specialist/HR-advisor"
"Administration, ekonomi, juridik","2423","Personal- och HR-specialister","HR-strateg"
"Administration, ekonomi, juridik","2423","Personal- och HR-specialister","Personalansvarig"
"Administration, ekonomi, juridik","2423","Personal- och HR-specialister","Personalutvecklare"
"Administration, ekonomi, juridik","2423","Personal- och HR-specialister","Rekryterare/Rekryteringskonsult"
"Administration, ekonomi, juridik","2423","Personal- och HR-specialister","Researcher, rekrytering"
"Administration, ekonomi, juridik","2432","Informatörer, kommunikatörer och PR-specialister","Annonsproducent"
"Administration, ekonomi, juridik","2432","Informatörer, kommunikatörer och PR-specialister","Copywriter"
"Administration, ekonomi, juridik","2432","Informatörer, kommunikatörer och PR-specialister","Forskningskommunikatör"
"Administration, ekonomi, juridik","2432","Informatörer, kommunikatörer och PR-specialister","Informationsassistent"
"Administration, ekonomi, juridik","2432","Informatörer, kommunikatörer och PR-specialister","Informationskonsult"
"Administration, ekonomi, juridik","2432","Informatörer, kommunikatörer och PR-specialister","Informationssekreterare"
"Administration, ekonomi, juridik","2432","Informatörer, kommunikatörer och PR-specialister","Informatör/Kommunikatör"
"Administration, ekonomi, juridik","2432","Informatörer, kommunikatörer och PR-specialister","Kommunikationsstrateg"
"Administration, ekonomi, juridik","2432","Informatörer, kommunikatörer och PR-specialister","Mediakonsulent"
"Administration, ekonomi, juridik","2432","Informatörer, kommunikatörer och PR-specialister","Mediaplanerare"
"Administration, ekonomi, juridik","2432","Informatörer, kommunikatörer och PR-specialister","Mediehanterare"
"Administration, ekonomi, juridik","2432","Informatörer, kommunikatörer och PR-specialister","Onlinemarknadsförare"
"Administration, ekonomi, juridik","2432","Informatörer, kommunikatörer och PR-specialister","PR-konsult"
"Administration, ekonomi, juridik","2432","Informatörer, kommunikatörer och PR-specialister","Pressekreterare"
"Administration, ekonomi, juridik","2432","Informatörer, kommunikatörer och PR-specialister","Social media manager/Social media specialist"
"Administration, ekonomi, juridik","2432","Informatörer, kommunikatörer och PR-specialister","Visuell grafisk kommunikatör"
"Administration, ekonomi, juridik","2611","Advokater","Advokat"
"Administration, ekonomi, juridik","2611","Advokater","Brottmålsadvokat"
"Administration, ekonomi, juridik","2611","Advokater","Tvistemålsadvokat"
"Administration, ekonomi, juridik","2612","Domare","Assessor"
"Administration, ekonomi, juridik","2612","Domare","Chefsrådman"
"Administration, ekonomi, juridik","2612","Domare","Domare"
"Administration, ekonomi, juridik","2612","Domare","Fiskal"
"Administration, ekonomi, juridik","2612","Domare","Hovrättsassessor"
"Administration, ekonomi, juridik","2612","Domare","Hovrättslagman"
"Administration, ekonomi, juridik","2612","Domare","Hovrättspresident"
"Administration, ekonomi, juridik","2612","Domare","Hovrättsråd"
"Administration, ekonomi, juridik","2612","Domare","Jurist, allmän domstol"
"Administration, ekonomi, juridik","2612","Domare","Jurist, förvaltningsdomstol"
"Administration, ekonomi, juridik","2612","Domare","Jurist, specialdomstol"
"Administration, ekonomi, juridik","2612","Domare","Justitieråd"
"Administration, ekonomi, juridik","2612","Domare","Kammarrättsassessor"
"Administration, ekonomi, juridik","2612","Domare","Kammarrättsfiskal"
"Administration, ekonomi, juridik","2612","Domare","Kammarrättslagman"
"Administration, ekonomi, juridik","2612","Domare","Kammarrättspresident"
"Administration, ekonomi, juridik","2612","Domare","Kammarrättsråd"
"Administration, ekonomi, juridik","2612","Domare","Lagman"
"Administration, ekonomi, juridik","2612","Domare","Rådman"
"Administration, ekonomi, juridik","2612","Domare","Tingsfiskal"
"Administration, ekonomi, juridik","2612","Domare","Tingsnotarie/Notarie"
"Administration, ekonomi, juridik","2613","Åklagare","Åklagaraspirant"
"Administration, ekonomi, juridik","2613","Åklagare","Åklagare"
"Administration, ekonomi, juridik","2614","Affärs- och företagsjurister","Affärsjurist"
"Administration, ekonomi, juridik","2614","Affärs- och företagsjurister","Arbetsrättsjurist"
"Administration, ekonomi, juridik","2614","Affärs- och företagsjurister","Bankjurist"
"Administration, ekonomi, juridik","2614","Affärs- och företagsjurister","Bolagsjurist"
"Administration, ekonomi, juridik","2614","Affärs- och företagsjurister","Familjerättsjurist"
"Administration, ekonomi, juridik","2614","Affärs- och företagsjurister","Fastighetsjurist"
"Administration, ekonomi, juridik","2614","Affärs- och företagsjurister","Företagsjurist"
"Administration, ekonomi, juridik","2614","Affärs- och företagsjurister","Försäkringsjurist"
"Administration, ekonomi, juridik","2614","Affärs- och företagsjurister","Immaterialrättsjurist"
"Administration, ekonomi, juridik","2614","Affärs- och företagsjurister","Patentjurist"
"Administration, ekonomi, juridik","2614","Affärs- och företagsjurister","Skattejurist"
"Administration, ekonomi, juridik","2614","Affärs- och företagsjurister","Upphovsrättsjurist"
"Administration, ekonomi, juridik","2614","Affärs- och företagsjurister","Varumärkesjurist"
"Administration, ekonomi, juridik","2615","Förvaltnings- och organisationsjurister","Chefsjurist"
"Administration, ekonomi, juridik","2615","Förvaltnings- och organisationsjurister","Förbundsjurist"
"Administration, ekonomi, juridik","2615","Förvaltnings- och organisationsjurister","Förvaltningsjurist"
"Administration, ekonomi, juridik","2615","Förvaltnings- och organisationsjurister","Kanslijurist"
"Administration, ekonomi, juridik","2615","Förvaltnings- och organisationsjurister","Länsjurist"
"Administration, ekonomi, juridik","2615","Förvaltnings- och organisationsjurister","Organisationsjurist"
"Administration, ekonomi, juridik","2615","Förvaltnings- och organisationsjurister","Regionjurist"
"Administration, ekonomi, juridik","2615","Förvaltnings- och organisationsjurister","Stadsjurist/Kommunjurist"
"Administration, ekonomi, juridik","2615","Förvaltnings- och organisationsjurister","Verksjurist"
"Administration, ekonomi, juridik","2619","Övriga jurister","Biträdande jurist"
"Administration, ekonomi, juridik","2619","Övriga jurister","Föredragande/Beredningsjurist"
"Administration, ekonomi, juridik","2619","Övriga jurister","IT-jurist"
"Administration, ekonomi, juridik","2619","Övriga jurister","Kronofogde"
"Administration, ekonomi, juridik","2619","Övriga jurister","Miljöjurist"
"Administration, ekonomi, juridik","2623","Arkeologer och specialister inom humaniora m.m.","Antropolog"
"Administration, ekonomi, juridik","2623","Arkeologer och specialister inom humaniora m.m.","Arkeolog"
"Administration, ekonomi, juridik","2623","Arkeologer och specialister inom humaniora m.m.","Etnolog"
"Administration, ekonomi, juridik","2623","Arkeologer och specialister inom humaniora m.m.","Forskare, etnologi"
"Administration, ekonomi, juridik","2623","Arkeologer och specialister inom humaniora m.m.","Forskare, filmvetenskap"
"Administration, ekonomi, juridik","2623","Arkeologer och specialister inom humaniora m.m.","Forskare, filosofi"
"Administration, ekonomi, juridik","2623","Arkeologer och specialister inom humaniora m.m.","Forskare, historia"
"Administration, ekonomi, juridik","2623","Arkeologer och specialister inom humaniora m.m.","Forskare, humaniora"
"Administration, ekonomi, juridik","2623","Arkeologer och specialister inom humaniora m.m.","Forskare, kriminalvård"
"Administration, ekonomi, juridik","2623","Arkeologer och specialister inom humaniora m.m.","Forskare, kulturgeografi"
"Administration, ekonomi, juridik","2623","Arkeologer och specialister inom humaniora m.m.","Forskare, rättsvetenskap"
"Administration, ekonomi, juridik","2623","Arkeologer och specialister inom humaniora m.m.","Forskare, samhällsvetenskap"
"Administration, ekonomi, juridik","2623","Arkeologer och specialister inom humaniora m.m.","Forskare, sociologi"
"Administration, ekonomi, juridik","2623","Arkeologer och specialister inom humaniora m.m.","Forskare, statskunskap"
"Administration, ekonomi, juridik","2623","Arkeologer och specialister inom humaniora m.m.","Forskare, teologi"
"Administration, ekonomi, juridik","2623","Arkeologer och specialister inom humaniora m.m.","Forskningsassistent, humaniora"
"Administration, ekonomi, juridik","2623","Arkeologer och specialister inom humaniora m.m.","Forskningsassistent, samhällsvetenskap"
"Administration, ekonomi, juridik","2623","Arkeologer och specialister inom humaniora m.m.","Framtidsforskare"
"Administration, ekonomi, juridik","2623","Arkeologer och specialister inom humaniora m.m.","Fredsforskare"
"Administration, ekonomi, juridik","2623","Arkeologer och specialister inom humaniora m.m.","Genealog"
"Administration, ekonomi, juridik","2623","Arkeologer och specialister inom humaniora m.m.","Geograf"
"Administration, ekonomi, juridik","2623","Arkeologer och specialister inom humaniora m.m.","Idéhistoriker"
"Administration, ekonomi, juridik","2623","Arkeologer och specialister inom humaniora m.m.","Kriminolog"
"Administration, ekonomi, juridik","2623","Arkeologer och specialister inom humaniora m.m.","Kulturgeograf"
"Administration, ekonomi, juridik","2623","Arkeologer och specialister inom humaniora m.m.","Marinarkeolog"
"Administration, ekonomi, juridik","2623","Arkeologer och specialister inom humaniora m.m.","Naturgeograf"
"Administration, ekonomi, juridik","2623","Arkeologer och specialister inom humaniora m.m.","Rättssociolog"
"Administration, ekonomi, juridik","2623","Arkeologer och specialister inom humaniora m.m.","Socialantropolog"
"Administration, ekonomi, juridik","2623","Arkeologer och specialister inom humaniora m.m.","Sociolog"
"Administration, ekonomi, juridik","3311","Mäklare inom finans","Aktiemäklare"
"Administration, ekonomi, juridik","3311","Mäklare inom finans","Institutionsmäklare"
"Administration, ekonomi, juridik","3311","Mäklare inom finans","Kundmäklare"
"Administration, ekonomi, juridik","3311","Mäklare inom finans","Penningmarknadsmäklare"
"Administration, ekonomi, juridik","3311","Mäklare inom finans","Valutahandlare"
"Administration, ekonomi, juridik","3311","Mäklare inom finans","Valutamäklare"
"Administration, ekonomi, juridik","3312","Banktjänstemän","Avdelningschef, bank"
"Administration, ekonomi, juridik","3312","Banktjänstemän","Gruppchef, bank"
"Administration, ekonomi, juridik","3312","Banktjänstemän","Kreditberedare"
"Administration, ekonomi, juridik","3312","Banktjänstemän","Kreditbevakare"
"Administration, ekonomi, juridik","3312","Banktjänstemän","Kredithandläggare"
"Administration, ekonomi, juridik","3312","Banktjänstemän","Kreditman"
"Administration, ekonomi, juridik","3312","Banktjänstemän","Kreditrådgivare"
"Administration, ekonomi, juridik","3312","Banktjänstemän","Notariatchef, bank"
"Administration, ekonomi, juridik","3312","Banktjänstemän","Privatekonom"
"Administration, ekonomi, juridik","3312","Banktjänstemän","Privatekonomisk rådgivare"
"Administration, ekonomi, juridik","3313","Redovisningsekonomer","Redovisningsekonom"
"Administration, ekonomi, juridik","3313","Redovisningsekonomer","Redovisningskonsult"
"Administration, ekonomi, juridik","3313","Redovisningsekonomer","Revisorsassistent"
"Administration, ekonomi, juridik","3314","Skadereglerare och värderare","Besiktningsingenjör, försäkring"
"Administration, ekonomi, juridik","3314","Skadereglerare och värderare","Besiktningsman, försäkring/Skadeinspektör, försäkring"
"Administration, ekonomi, juridik","3314","Skadereglerare och värderare","Cargo surveyor"
"Administration, ekonomi, juridik","3314","Skadereglerare och värderare","Försäkringsutredare"
"Administration, ekonomi, juridik","3314","Skadereglerare och värderare","Personskadereglerare"
"Administration, ekonomi, juridik","3314","Skadereglerare och värderare","Skadereglerare"
"Administration, ekonomi, juridik","3314","Skadereglerare och värderare","Skadetekniker"
"Administration, ekonomi, juridik","3314","Skadereglerare och värderare","Värderingsassistent"
"Administration, ekonomi, juridik","3314","Skadereglerare och värderare","Värderingsman"
"Administration, ekonomi, juridik","3321","Försäkringssäljare och försäkringsrådgivare","Försäkringshandläggare"
"Administration, ekonomi, juridik","3321","Försäkringssäljare och försäkringsrådgivare","Försäkringsmäklare"
"Administration, ekonomi, juridik","3321","Försäkringssäljare och försäkringsrådgivare","Försäkringsrådgivare/Försäkringssäljare"
"Administration, ekonomi, juridik","3321","Försäkringssäljare och försäkringsrådgivare","Försäkringsspecialist"
"Administration, ekonomi, juridik","3321","Försäkringssäljare och försäkringsrådgivare","Försäkringstjänsteman"
"Administration, ekonomi, juridik","3321","Försäkringssäljare och försäkringsrådgivare","Kundtjänsteman, försäkring"
"Administration, ekonomi, juridik","3321","Försäkringssäljare och försäkringsrådgivare","Riskbedömare"
"Administration, ekonomi, juridik","3321","Försäkringssäljare och försäkringsrådgivare","Riskingenjör, försäkring"
"Administration, ekonomi, juridik","3321","Försäkringssäljare och försäkringsrådgivare","Underwriter"
"Administration, ekonomi, juridik","3333","Arbetsförmedlare","Arbetsförmedlare"
"Administration, ekonomi, juridik","3333","Arbetsförmedlare","Arbetskonsulent"
"Administration, ekonomi, juridik","3333","Arbetsförmedlare","Jobbcoach/Utbildningscoach"
"Administration, ekonomi, juridik","3333","Arbetsförmedlare","SIUS-konsulent"
"Administration, ekonomi, juridik","3341","Gruppledare för kontorspersonal","Arbetsledare, kontorspersonal/Gruppledare, kontorspersonal"
"Administration, ekonomi, juridik","3341","Gruppledare för kontorspersonal","Arbetsledare, kundservice/Gruppledare, kundservice"
"Administration, ekonomi, juridik","3341","Gruppledare för kontorspersonal","Arbetsledare, säkerhetsarbete/Gruppledare, säkerhetsarbete"
"Administration, ekonomi, juridik","3342","Domstols- och juristsekreterare m.fl.","Advokatsekreterare"
"Administration, ekonomi, juridik","3342","Domstols- och juristsekreterare m.fl.","Beredningssekreterare/Domstolssekreterare/Domstolshandläggare"
"Administration, ekonomi, juridik","3342","Domstols- och juristsekreterare m.fl.","Boupptecknare"
"Administration, ekonomi, juridik","3342","Domstols- och juristsekreterare m.fl.","Boutredare"
"Administration, ekonomi, juridik","3342","Domstols- och juristsekreterare m.fl.","Boutredningsman"
"Administration, ekonomi, juridik","3342","Domstols- och juristsekreterare m.fl.","Förrättningsassistent"
"Administration, ekonomi, juridik","3342","Domstols- och juristsekreterare m.fl.","Juristassistent/Paralegal"
"Administration, ekonomi, juridik","3343","Chefssekreterare och VD-assistenter m.fl.","Chefssekreterare"
"Administration, ekonomi, juridik","3343","Chefssekreterare och VD-assistenter m.fl.","Direktionssekreterare"
"Administration, ekonomi, juridik","3343","Chefssekreterare och VD-assistenter m.fl.","VD-sekreterare"
"Administration, ekonomi, juridik","3352","Skattehandläggare","Folkbokföringshandläggare"
"Administration, ekonomi, juridik","3352","Skattehandläggare","Kvalificerad skattehandläggare"
"Administration, ekonomi, juridik","3352","Skattehandläggare","Skattehandläggare"
"Administration, ekonomi, juridik","3353","Socialförsäkringshandläggare","Försäkringshandläggare, försäkringskassa"
"Administration, ekonomi, juridik","3353","Socialförsäkringshandläggare","Försäkringsutredare, försäkringskassa"
"Administration, ekonomi, juridik","3353","Socialförsäkringshandläggare","Handläggare, arbetslöshetskassa/Utredare, arbetslöshetskassa"
"Administration, ekonomi, juridik","3353","Socialförsäkringshandläggare","Omprövningshandläggare, arbetslöshetskassa"
"Administration, ekonomi, juridik","3353","Socialförsäkringshandläggare","Utredningsassistent"
"Administration, ekonomi, juridik","3359","Övriga handläggare","Fiskerikontrollant"
"Administration, ekonomi, juridik","3359","Övriga handläggare","Forskningsadministratör"
"Administration, ekonomi, juridik","3359","Övriga handläggare","Forskningshandläggare"
"Administration, ekonomi, juridik","3359","Övriga handläggare","Nämndsekreterare"
"Administration, ekonomi, juridik","3359","Övriga handläggare","Projektledare, offentlig verksamhet"
"Administration, ekonomi, juridik","3359","Övriga handläggare","Servicehandläggare"
"Administration, ekonomi, juridik","3359","Övriga handläggare","Utbildningsadministratör/Studieadministratör"
"Administration, ekonomi, juridik","3359","Övriga handläggare","Utbildningshandläggare"
"Administration, ekonomi, juridik","3359","Övriga handläggare","Utbildningskoordinator"
"Administration, ekonomi, juridik","4111","Ekonomiassistenter m.fl.","Ekonomiassistent"
"Administration, ekonomi, juridik","4111","Ekonomiassistenter m.fl.","Redovisningsassistent"
"Administration, ekonomi, juridik","4112","Löne- och personaladministratörer","HR-assistent"
"Administration, ekonomi, juridik","4112","Löne- och personaladministratörer","Löneadministratör/Lönekonsult"
"Administration, ekonomi, juridik","4112","Löne- och personaladministratörer","Personaladministratör"
"Administration, ekonomi, juridik","4113","Backofficepersonal m.fl.","Backofficepersonal"
"Administration, ekonomi, juridik","4113","Backofficepersonal m.fl.","Frontofficepersonal"
"Administration, ekonomi, juridik","4116","Skolassistenter m.fl.","Skolassistent"
"Administration, ekonomi, juridik","4116","Skolassistenter m.fl.","Utbildningsassistent"
"Administration, ekonomi, juridik","4117","Medicinska sekreterare, vårdadministratörer m.fl.","Medicinsk sekreterare"
"Administration, ekonomi, juridik","4119","Övriga kontorsassistenter och sekreterare","Administratör"
"Administration, ekonomi, juridik","4119","Övriga kontorsassistenter och sekreterare","Bostadsförmedlare"
"Administration, ekonomi, juridik","4119","Övriga kontorsassistenter och sekreterare","Operatör, Polisen"
"Administration, ekonomi, juridik","4119","Övriga kontorsassistenter och sekreterare","Registrator"
"Administration, ekonomi, juridik","4119","Övriga kontorsassistenter och sekreterare","Transportadministratör"
"Administration, ekonomi, juridik","4212","Inkasserare och pantlånare m.fl.","Delgivningsman"
"Administration, ekonomi, juridik","4212","Inkasserare och pantlånare m.fl.","Inkasserare"
"Administration, ekonomi, juridik","4212","Inkasserare och pantlånare m.fl.","Inkassohandläggare"
"Administration, ekonomi, juridik","4212","Inkasserare och pantlånare m.fl.","Kronoassistent"
"Administration, ekonomi, juridik","4212","Inkasserare och pantlånare m.fl.","Kronoinspektör"
"Administration, ekonomi, juridik","4212","Inkasserare och pantlånare m.fl.","Pantlånare"
"Administration, ekonomi, juridik","4222","Kundtjänstpersonal","Besöksbokare/Kundbokare"
"Administration, ekonomi, juridik","4222","Kundtjänstpersonal","Garantihandläggare"
"Administration, ekonomi, juridik","4222","Kundtjänstpersonal","Kundtjänstmedarbetare"
"Administration, ekonomi, juridik","4222","Kundtjänstpersonal","Reklamationshandläggare"
"Administration, ekonomi, juridik","4223","Telefonister","Radioexpeditör"
"Administration, ekonomi, juridik","4223","Telefonister","Taxitelefonist"
"Administration, ekonomi, juridik","4223","Telefonister","Växeltelefonist"
"Administration, ekonomi, juridik","4225","Kontorsreceptionister","Kontorsreceptionist"
"Administration, ekonomi, juridik","4225","Kontorsreceptionister","Receptionist"
"Administration, ekonomi, juridik","4225","Kontorsreceptionister","Studiovärdinna"
"Administration, ekonomi, juridik","4410","Arkiv- och biblioteksassistenter m.fl.","Arkivassistent"
"Administration, ekonomi, juridik","4410","Arkiv- och biblioteksassistenter m.fl.","Biblioteksassistent"
"Administration, ekonomi, juridik","4410","Arkiv- och biblioteksassistenter m.fl.","Excerpist"
"Administration, ekonomi, juridik","4410","Arkiv- och biblioteksassistenter m.fl.","Informatikerassistent"
"Administration, ekonomi, juridik","4410","Arkiv- och biblioteksassistenter m.fl.","Läromedelsassistent"
